"File","Line","Message"
"app/Console/Commands/CacheManagement.php","41","Call to function is_string() with string will always evaluate to true."
"app/Http/Controllers/Admin/DashboardController.php","460","Call to function is_string() with string will always evaluate to true."
"app/Http/Middleware/ValidateApiRequest.php","95","Call to function is_string() with string will always evaluate to true."
"app/Providers/TelescopeServiceProvider.php","67","Call to function is_string() with string will always evaluate to true."
"app/Rules/PasswordValidator.php","140","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","106","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","289","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","340","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","386","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","413","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","445","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/ContinuousQualityMonitor.php","495","Call to function is_string() with string will always evaluate to true."
"app/Services/AI/HealthScoreCalculator.php","21","Call to function is_string() with string will always evaluate to true."
"app/Services/Backup/Services/BackupConfigurationService.php","94","Call to function is_string() with string will always evaluate to true."
"app/Services/Backup/Services/BackupFileSystemService.php","93","Call to function is_string() with string will always evaluate to true."
"app/Services/BackupService.php","352","Call to function is_string() with string will always evaluate to true."
"app/Services/PasswordPolicyService.php","122","Call to function is_string() with string will always evaluate to true."
"app/Services/Performance/DatabaseOptimizerService.php","61","Call to function is_string() with string will always evaluate to true."
"app/Services/PriceUpdate/PriceUpdateDisplayService.php","37","Call to function is_string() with string will always evaluate to true."
"app/Services/PriceUpdate/PriceUpdateDisplayService.php","38","Call to function is_string() with string will always evaluate to true."
"app/Services/PriceUpdate/PriceUpdateDisplayService.php","49","Call to function is_string() with string will always evaluate to true."
"app/Services/PriceUpdate/PriceUpdateDisplayService.php","50","Call to function is_string() with string will always evaluate to true."
"app/Services/SEO/SEORouteAuditor.php","27","Call to function is_string() with string will always evaluate to true."
"app/Services/SEO/SEORouteAuditor.php","78","Call to function is_string() with string will always evaluate to true."
