"File","Line","Message"
"app/Http/Controllers/LocaleController.php","34","Using nullsafe property access ""?->code"" on left side of ?? is unnecessary. Use -> instead."
"app/Http/Middleware/LocaleMiddleware.php","20","Using nullsafe property access ""?->locale"" on left side of ?? is unnecessary. Use -> instead."
"app/Http/Middleware/SetLocaleAndCurrency.php","19","Using nullsafe property access ""?->currency"" on left side of ?? is unnecessary. Use -> instead."
"app/Services/GeolocationService.php","117","Using nullsafe property access ""?->code"" on left side of ?? is unnecessary. Use -> instead."
"app/Services/GeolocationService.php","118","Using nullsafe property access ""?->code"" on left side of ?? is unnecessary. Use -> instead."
"app/View/Composers/AppComposer.php","198","Using nullsafe property access ""?->code"" on left side of ?? is unnecessary. Use -> instead."
"app/View/Composers/AppComposer.php","209","Using nullsafe property access ""?->code"" on left side of ?? is unnecessary. Use -> instead."
"app/View/Composers/AppComposer.php","210","Using nullsafe property access ""?->symbol"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","87","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","88","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","89","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","99","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","100","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","101","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","111","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","112","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","113","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","123","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","124","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","125","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","135","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","136","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","137","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","147","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","148","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","149","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","159","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","160","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
"database/seeders/ProductSeeder.php","161","Using nullsafe property access ""?->id"" on left side of ?? is unnecessary. Use -> instead."
